student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade
1,16,female,private,high school,5.4,52.6,yes,<15 min,yes,group study,63.6,73.2,67.9,68.2,c
2,19,other,public,post graduate,5.0,81.2,yes,>60 min,yes,mixed,74.0,69.8,68.1,70.6,c
3,17,female,private,phd,0.5,76.4,yes,>60 min,yes,mixed,37.7,37.7,34.3,36.6,f
4,17,male,public,post graduate,3.6,64.9,yes,30-60 min,no,notes,56.8,57.7,56.4,57.0,d
5,15,male,private,high school,6.8,85.3,yes,15-30 min,no,online videos,85.3,88.0,94.2,89.2,a
6,15,male,private,graduate,1.9,63.5,yes,15-30 min,no,notes,36.6,29.4,41.8,35.9,f
7,14,male,private,diploma,3.1,51.7,yes,15-30 min,yes,notes,42.4,44.6,44.5,43.8,f
8,18,female,public,post graduate,8.0,70.5,yes,15-30 min,yes,notes,100.0,96.7,95.3,97.3,a
9,17,female,private,high school,5.0,61.8,yes,15-30 min,no,notes,68.2,57.6,63.4,63.1,d
10,17,male,public,graduate,3.7,78.7,no,15-30 min,yes,textbook,60.2,58.0,53.2,57.1,d
11,14,male,public,post graduate,3.2,70.9,no,<15 min,yes,mixed,54.6,53.9,57.5,55.3,d
12,19,male,private,graduate,5.1,97.5,no,>60 min,no,group study,70.3,75.7,74.7,73.6,c
13,18,other,private,phd,5.7,70.4,yes,30-60 min,no,mixed,73.5,71.9,73.1,72.8,c
14,15,female,private,no formal,0.5,79.0,yes,15-30 min,yes,notes,31.1,28.4,31.5,30.3,f
15,15,other,public,high school,0.5,58.3,yes,15-30 min,no,online videos,22.6,19.5,21.2,21.1,f
16,15,other,private,diploma,2.1,68.9,yes,30-60 min,no,online videos,40.2,42.0,39.3,40.5,f
17,16,female,public,high school,3.9,61.9,yes,<15 min,no,mixed,52.5,49.3,48.5,50.1,e
18,17,other,public,high school,4.4,92.1,yes,<15 min,yes,notes,72.1,68.2,65.8,68.7,c
19,16,male,private,high school,0.6,64.1,yes,>60 min,no,coaching,25.3,25.3,27.6,26.1,f
20,15,other,public,post graduate,3.8,65.6,yes,>60 min,yes,coaching,51.0,55.5,60.2,55.6,d
21,17,male,private,post graduate,4.1,79.3,yes,30-60 min,yes,online videos,64.2,65.5,64.3,64.7,d
22,15,other,public,no formal,2.4,64.7,yes,15-30 min,no,textbook,41.1,39.4,41.8,40.8,f
23,15,male,public,high school,3.1,95.3,no,>60 min,yes,group study,50.9,58.3,55.3,54.8,e
24,16,other,private,high school,2.7,100.0,yes,30-60 min,no,online videos,52.4,56.4,59.9,56.2,d
25,16,male,private,diploma,5.3,62.1,yes,30-60 min,no,group study,72.3,65.7,67.6,68.5,c
26,18,other,public,post graduate,4.3,87.2,yes,30-60 min,yes,coaching,80.4,72.4,68.3,73.7,c
27,15,male,public,no formal,1.8,62.8,yes,>60 min,no,textbook,34.2,32.8,31.3,32.8,f
28,16,female,private,graduate,6.3,69.9,no,15-30 min,no,textbook,75.8,73.4,73.1,74.1,c
29,17,female,public,no formal,1.3,84.9,yes,<15 min,no,mixed,39.2,35.4,47.3,40.6,f
